Taxon name,N,0%,10%,25%,50%,75%,90%,100%
Rhus choriophylla ,22,0.27,0.29,0.40,0.44,0.51,0.55,0.72
Rhus glabra,4432,0.26,0.76,0.90,0.95,0.97,0.98,1.00
Rhus microphylla,958,0.20,0.23,0.27,0.33,0.45,0.56,0.83
Rhus ovata,71,0.13,0.29,0.39,0.46,0.53,0.59,0.84
Robinia neomexicana ,82,0.18,0.35,0.46,0.57,0.73,0.84,0.95
Robinia pseudoacacia,665,0.87,0.93,0.95,0.97,0.98,0.99,1.00
Sabal palmetto ,170,0.97,0.98,0.99,0.99,0.99,0.99,1.00
Salix alaxensis ,3758,0.16,0.42,0.49,0.64,0.79,0.94,1.00
Salix arbusculoides ,4708,0.31,0.43,0.50,0.61,0.73,0.80,1.00
Sambucus mexicana ,261,0.20,0.40,0.52,0.75,0.86,0.95,1.00
Sapium biloculare,171,0.09,0.14,0.17,0.21,0.30,0.49,0.58
Sassafras albidum ,3246,0.80,0.90,0.93,0.96,0.98,0.99,1.00
Shepherdia argentea ,1514,0.15,0.45,0.50,0.58,0.66,0.74,0.97
Tilia americana,3327,0.62,0.92,0.95,0.97,0.98,0.99,1.00
Tilia heterophylla ,828,0.87,0.93,0.95,0.97,0.98,0.99,1.00
Ulmus alata ,1818,0.66,0.88,0.91,0.94,0.97,0.99,1.00
Ulmus americana,7818,0.48,0.68,0.88,0.96,0.98,0.99,1.00
Ulmus crassifolia ,696,0.36,0.45,0.69,0.83,0.89,0.91,0.99
Ulmus rubra ,4253,0.66,0.88,0.93,0.96,0.97,0.99,1.00
Ulmus serotina ,64,0.85,0.90,0.90,0.94,0.95,0.96,0.98
Ulmus thomasii,1210,0.71,0.93,0.95,0.97,0.98,0.99,1.00
Umbellularia californica ,127,0.40,0.51,0.56,0.65,0.72,0.81,0.86
Vauquelinia californica,11,0.20,0.20,0.27,0.33,0.40,0.56,0.61
Yucca brevifolia,94,0.04,0.09,0.11,0.17,0.23,0.32,0.52
Yucca carnerosana ,10,0.22,0.22,0.23,0.26,0.38,0.40,0.47
Yucca elata ,386,0.14,0.22,0.25,0.30,0.34,0.43,0.88
Yucca faxoniana ,9,0.29,0.29,0.30,0.32,0.33,0.33,0.34
Yucca mohavensis ,100,0.04,0.07,0.10,0.16,0.39,0.49,0.64
Yucca rostrata,6,0.22,0.22,0.30,0.32,0.36,0.36,0.38
Yucca schottii ,13,0.35,0.35,0.40,0.46,0.51,0.55,0.65
Yucca torreyi ,313,0.21,0.23,0.26,0.29,0.33,0.38,0.84
Yucca treculeana ,361,0.26,0.37,0.41,0.49,0.61,0.72,0.90
,,,,,,,,
,,,,,,,,
,,,,,,,,
