"specificEpithet","n","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass"
"mexicana",200,9176940,"LSU",1970,8,20,"1970-08-20","Louisiana","union","https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176940",-92.3802818848157,32.8335537786189,"county_centroid"
"mexicana",200,12877133,"UARK",NA,NA,NA,"","Arkansas","logan","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877133",-93.7242869754685,35.2106323256837,"county_centroid"
"mexicana",200,9176892,"LSU",1970,7,2,"1970-07-02","Louisiana","catahoula","https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176892",-91.8492409058804,31.6660091252807,"county_centroid"
"mexicana",200,3848985,"APSC",1965,6,15,"1965-06-15","Kentucky","trigg","https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848985",-87.8701233346164,36.8038046118575,"county_centroid"
"mexicana",200,5894926,"MISS",1964,3,8,"1964-03-08","Mississippi","pearl river","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894926",-89.5798895247382,30.7780052684696,"county_centroid"
"mexicana",200,5465881,"EKY",2006,4,26,"2006-04-26","Kentucky","spencer","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465881",-85.3233300135984,38.0270740634332,"county_centroid"
"mexicana",200,22620189,"KANU",1969,5,14,"1969-05-14","Kansas","Osage","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620189",-95.62387,38.50696,"geo_referenced"
"mexicana",200,21268932,"UAM",2004,5,19,"2004-05-19","Arkansas","poinsett","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268932",-90.6673735642984,35.5678427090494,"county_centroid"
"mexicana",200,22620193,"KANU",1949,7,22,"1949-07-22","Kansas","Shawnee","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620193",-95.93753,38.96434,"geo_referenced"
"mexicana",200,13497861,"TEX",1946,7,3,"1946-07-03","Texas","erath","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497861",-98.2064117143756,32.2407750398515,"county_centroid"
"mexicana",200,16080356,"FLAS",2012,4,7,"2012-04-07","Kansas","Sedgwick","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080356",-97.2678,37.7429,"geo_referenced"
