"","specificEpithet","id","references","fruit_type","obs_number","fruit_diam_mm","who_done_it","note","certain"
"196","angustifolia",14635132,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635134","dried",3,4.667,"SC","",""
"197","angustifolia",14635132,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635135","dried",4,8.211,"SC","",""
"198","angustifolia",14635132,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=14635136","dried",5,8.565,"SC","",""
"199","angustifolia",15948349,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948349","dried",1,13.574,"SC","",""
"200","angustifolia",15948349,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948350","dried",2,12.569,"SC","",""
"201","angustifolia",19211497,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211497","dried",1,17.838,"SC","",""
"202","angustifolia",16914595,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16914595","dried",1,12.806,"SC","",""
"203","angustifolia",16914595,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16914596","dried",2,11.343,"SC","",""
"204","subcordata",23568498,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568498","fleshy",1,16.753,"SC","",""
"205","subcordata",23568498,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568499","fleshy",2,17.718,"SC","",""
"206","subcordata",23568498,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568500","fleshy",3,16.864,"SC","",""
"207","subcordata",23568498,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568501","fleshy",4,18.797,"SC","",""
"208","subcordata",20966797,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20966797","fleshy",1,25.017,"SC","",""
"209","subcordata",20966797,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20966798","fleshy",2,17.663,"SC","",""
"210","subcordata",23568474,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568474","fleshy",1,14.32,"SC","",""
"211","subcordata",23568487,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568487","pit",1,4.183,"SC","","U"
"212","subcordata",23568487,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568488","pit",2,4.368,"SC","","U"
"213","subcordata",23568487,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568489","pit",3,4.35,"SC","","U"
"214","subcordata",23568487,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568490","pit",4,3.566,"SC","","U"
"215","subcordata",23568487,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=23568491","pit",5,5.354,"SC","","U"
"216","subcordata",2838221,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=2838221","dried",1,13.766,"SC","",""
"217","subcordata",2838221,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=2838222","dried",2,14.694,"SC","",""
"218","subcordata",2838221,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=2838223","dried",3,13.356,"SC","",""
"219","subcordata",2838221,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=2838224","dried",4,13.726,"SC","",""
"220","subcordata",2838221,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=2838225","dried",5,14.621,"SC","",""
