"Family","Genus","Species","Pollination","Phen.sequence","heigh_height","flower_class","flo_time","av_fruit_time","shade_tol","name","pro","pro2","pol","class","class2","flo_type","shade_bin","fruit_bin"
"Nyssaceae","Nyssa","sylvatica","insect","syn",18,"dioecious",5.5,10,"tolerant","Nyssa_sylvatica",0,1,0,"1smalltree",1,1,1,1
"Ericaceae","Vaccinium","myrtilloides","insect","syn",0.5,"perfect",5.5,7.5,"moderately_tolerant","Vaccinium_myrtilloides",0,1,0,"0shrub",0,0,1,0
"Ericaceae","Vaccinium","ovalifolium","insect","pro",1.5,"perfect",5.5,7.5,"moderately_tolerant","Vaccinium_ovalifolium",1,1,0,"0shrub",0,0,1,0
"Ericaceae","Vaccinium","pallidum","insect","pro",0.8,"perfect",5.5,7.5,"intolerant","Vaccinium_pallidum",1,1,0,"0shrub",0,0,0,0
"Aqufoliaceae","Ilex","mucronata","insect","syn",4,"dioecious",5,7.5,"moderately_tolerant","Ilex_mucronata",0,1,0,"0shrub",0,1,1,0
"Aqufoliaceae","Ilex","verticillata","insect","ser",5,"dioecious",6,9.5,"moderately_tolerant","Ilex_verticillata",0,0,0,"0shrub",0,1,1,1
"Adoxaceae","Viburnum","lentago","insect","ser",8,"perfect",5.5,9.5,"moderately_tolerant","Viburnum_lentago",0,0,0,"0shrub",0,0,1,1
"Oleaceae","Fraxinus","quadrangulata","wnd","pro",15,"perfect",4,9.5,"tolerant","Fraxinus_quadrangulata",1,1,0,"1smalltree",0,0,1,1
"Oleaceae","Fraxinus","profunda","wind","pro/syn",25,"dioecious",5,9,"intolerant","Fraxinus_profunda",1,1,1,"2talltree",1,1,0,1
"Oleaceae","Fraxinus","pennsylvanica","wind","pro/syn",18,"dioecious",5,9,"intolerant","Fraxinus_pennsylvanica",1,1,1,"1smalltree",1,1,0,1
"Oleaceae","Fraxinus","americana","wind","pro",28,"dioecious",5,8.5,"moderately_tolerant","Fraxinus_americana",1,1,1,"2talltree",1,1,1,0
"Oleaceae","Fraxinus","nigra","wind","pro",20,"dioecious",5,8.5,"moderately_tolerant","Fraxinus_nigra",1,1,1,"2talltree",1,1,1,0
"Oleaceae","Syringa","vulgaris","insect","syn/ser",7,"perfect",5,9,"intolerant","Syringa_vulgaris",0,0,0,"0shrub",0,0,0,1
"Bignoniaceae","Catalpa","bignonioides","insect","ser",12,"perfect",6.5,9,"intolerant","Catalpa_bignonioides",0,0,0,"1smalltree",0,0,0,1
"Bignoniaceae","Catalpa","speciosa","insect","ser",15,"perfect",6.5,9,"intolerant","Catalpa_speciosa",0,0,0,"1smalltree",0,0,0,1
