Family,Genus,Species,Pollination,Phen.sequence,heigh_height,flower_class,flo_time,av_fruit_time,shade_tol,imputed_resp,imputed_pred,name,pro,pro2,pol,class,class2,flo_type,shade_bin,fruiting,pro3
Rosaceae,Rubus,parviflorus,insect,ser,2.5,perfect,6.5,8.5,intolerant,Y,N,Rubus_parviflorus,0,0,0,0shrub,0,0,0,8.5,0
Rosaceae,Rubus,occidentalis,insect,ser,4,perfect,5.5,7.5,intolerant,Y,N,Rubus_occidentalis,0,0,0,0shrub,0,0,0,7.5,0
Rosaceae,Rubus,strigosis,insect,ser,2,perfect,5.5,7.5,intolerant,Y,N,Rubus_idaeus,0,0,0,0shrub,0,0,0,7.5,0
Rosaceae,Rubus,allegheniensis,insect,ser,3.5,perfect,5.5,8,intolerant,Y,N,Rubus_allegheniensis,0,0,0,0shrub,0,0,0,8,0
Rosaceae,Rubus,hispidus,insect,ser,1.5,perfect,6.5,8,intolerant,Y,N,Rubus_hispidus,0,0,0,0shrub,0,0,0,8,0
Rosaceae,Rubus,flagellaris,insect,ser,4,perfect,5.5,7.5,intolerant,Y,N,Rubus_flagellaris,0,0,0,0shrub,0,0,0,7.5,0
Rosaceae,Rosa,multiflora,insect,ser,3,perfect,5.5,8,intolerant,Y,N,Rosa_multiflora,0,0,0,0shrub,0,0,0,8,0
Rosaceae,Rosa,acicularis,insect,ser,1,perfect,6,8.5,intolerant,Y,N,Rosa_acicularis,0,0,0,0shrub,0,0,0,8.5,0
Rosaceae,Rosa,palustris,insect,ser,2,perfect,6.5,8.5,moderately_tolerant,Y,N,Rosa_palustris,0,0,0,0shrub,0,0,1,8.5,0
Rosaceae,Rosa,carolina,insect,ser,0.6,perfect,6.5,9,intolerant,Y,N,Rosa_carolina,0,0,0,0shrub,0,0,0,9,0
Rosaceae,Rosa,blanda,insect,ser,1.5,perfect,5.5,9,intolerant,Y,N,Rosa_blanda,0,0,0,0shrub,0,0,0,9,0
