specificEpithet,id,institutionCode,year,month,day,eventDate,stateProvince,county,references,lon,lat,geoclass,flowers,leaves,bbch.f,bbch.v,doy,bbch.v.scale,species,YEAR.hin
americana,22883929,UNCC,1968,4,9,4/9/68,North Carolina,durham,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22883929,-78.88289514,36.02984528,county_centroid,Y,Y,65,15,100,4,americana,0
americana,4995660,WIS,1960,5,8,5/8/60,Wisconsin,trempealeau,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4995660,-91.36023038,44.30886042,county_centroid,Y,Y,67,15,129,4,americana,0
americana,20393211,PH,1909,5,9,5/9/09,Pennsylvania,lehigh,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393211,-75.59169798,40.61643793,county_centroid,Y,Y,65,11,129,3,americana,0
americana,15928954,NCU,1932,4,13,4/13/32,North Carolina,orange,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15928954,-79.1273705,36.05478028,county_centroid,Y,Y,65,15,104,4,americana,0
americana,5102528,WIS,1977,5,27,5/27/77,Wisconsin,door,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5102528,-87.34439183,44.91051855,county_centroid,Y,Y,65,15,147,4,americana,0
americana,5809669,MISSA,1957,3,15,3/15/57,Mississippi,oktibbeha,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5809669,-88.87310961,33.4219717,county_centroid,Y,Y,67,17,74,5,americana,0
americana,5168244,WIS,1967,5,15,5/15/67,Wisconsin,waukesha,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5168244,-88.30065305,43.01909719,county_centroid,Y,Y,65,15,135,4,americana,0
americana,11583901,IND,1911,4,19,4/19/11,Indiana,Harrison,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11583901,-86.211017,38.285626,geo_referenced,Y,Y,65,15,109,4,americana,0
americana,12547993,CHRB,1980,4,15,,New Jersey,mercer,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12547993,-74.69454763,40.28633596,county_centroid,Y,Y,67,15,106,4,americana,0
americana,24591975,NCU,1933,5,15,,North Carolina,guilford,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24591975,-79.78689405,36.07109854,county_centroid,Y,Y,67,11,135,3,americana,0
americana,13268948,TENN,2004,4,17,4/17/04,Tennessee,hickman,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13268948,-87.47965756,35.80921494,county_centroid,Y,Y,67,15,108,4,americana,24
americana,4209099,BRY,1983,5,3,5/3/83,Utah,Utah,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4209099,-111.65499,40.24454,geo_referenced,Y,Y,65,11,123,3,americana,3
americana,20393207,PH,1916,5,19,5/19/16,Pennsylvania,lehigh,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393207,-75.59169798,40.61643793,county_centroid,Y,Y,65,17,140,5,americana,0
