"","id","name","GEN.SPA","Force","Light","Chill","good_flaskid","flo_day","Lbb_day","leaf_day","Lexpand_day","treatcode","Flo.poss.","Dead.alive"
"137","PRUPEN 23 HF DB_WL0_11","PRUPEN 23 HF DB","PRU.PEN","W","S",0,"WL0_11",NA,16,23,21,"W_L_0","N","A"
"138","PRUVIR 5 HF DB_WL0_11","PRUVIR 5 HF DB","PRU.VIR","W","S",0,"WL0_11",NA,30,56,50,"W_L_0","N","A"
"139","ACESAC18 HF DB_WL0_10","ACESAC18 HF DB","ACE.SAC","W","S",0,"WL0_10",NA,NA,NA,NA,"W_L_0","N","?"
"140","COMPER 6 HF DB_WL0_10","COMPER 6 HF DB","COM.PER","W","S",0,"WL0_10",NA,35,NA,40,"W_L_0","N","D"
"141","CORCOR 15 HF DB_WL0_10","CORCOR 15 HF DB","COR.COR","W","S",0,"WL0_10",NA,NA,NA,NA,"W_L_0","?","?"
"142","ACEPEN18 HF DB_WL0_1","ACEPEN18 HF DB","ACE.PEN","W","S",0,"WL0_1",NA,52,63,58,"W_L_0","N","A"
"143","BETALL32 HF DB_WL0_1","BETALL32 HF DB","BET.ALL","W","S",0,"WL0_1",NA,63,82,73,"W_L_0","N","A"
"144","CORCOR 17 HF DB_WL0_1","CORCOR 17 HF DB","COR.COR","W","S",0,"WL0_1",63,NA,NA,NA,"W_L_0","Y","A"
"145","ACERUB25 HF DB_CS0_9","ACERUB25 HF DB","ACE.RUB","C","S",0,"CS0_9",NA,NA,NA,NA,"C_S_0","?","?"
"146","ILEVER09 HF DB1_CS0_9","ILEVER09 HF DB1","ILE.VER","C","S",0,"CS0_9",NA,NA,NA,NA,"C_S_0","N","D"
"147","PRUPEN16 HF DB_CS0_9","PRUPEN16 HF DB","PRU.PEN","C","S",0,"CS0_9",NA,NA,NA,NA,"C_S_0","?","?"
"148","ACERUB29 HF DB_CS0_8","ACERUB29 HF DB","ACE.RUB","C","S",0,"CS0_8",NA,NA,NA,NA,"C_S_0","?","?"
"149","BETALL32 HF DB_CS0_8","BETALL32 HF DB","BET.ALL","C","S",0,"CS0_8",NA,87,104,96,"C_S_0","N","A"
"150","COMPER 6 HF DB_CS0_8","COMPER 6 HF DB","COM.PER","C","S",0,"CS0_8",NA,NA,NA,NA,"C_S_0","?","?"
"151","BETALL26 HF DB_CS0_7","BETALL26 HF DB","BET.ALL","C","S",0,"CS0_7",NA,70,82,79,"C_S_0","N","A"
"152","VACCOR 7 HF DB_CS0_7","VACCOR 7 HF DB","VAC.COR","C","S",0,"CS0_7",NA,28,NA,NA,"C_S_0","?","?"
"153","VIBACE06 HF DB_CS0_7","VIBACE06 HF DB","VIB.ACE","C","S",0,"CS0_7",NA,NA,NA,NA,"C_S_0","?","?"
"154","ACESAC17 HF DB_CS0_6","ACESAC17 HF DB","ACE.SAC","C","S",0,"CS0_6",NA,NA,NA,NA,"C_S_0","N","?"
"155","BETALL31 HF DB_CS0_6","BETALL31 HF DB","BET.ALL","C","S",0,"CS0_6",NA,82,93,84,"C_S_0","N","A"
"156","VIBACE06 HF DB_CS0_6","VIBACE06 HF DB","VIB.ACE","C","S",0,"CS0_6",NA,90,104,93,"C_S_0","?","A"
"157","ILEVER03 HF DB_CS0_5","ILEVER03 HF DB","ILE.VER","C","S",0,"CS0_5",NA,56,68,65,"C_S_0","?","A"
"158","PRUPEN 24 HF DB_CS0_5","PRUPEN 24 HF DB","PRU.PEN","C","S",0,"CS0_5",NA,33,NA,63,"C_S_0","?","A"
"159","VACCOR 10 HF DB_CS0_5","VACCOR 10 HF DB","VAC.COR","C","S",0,"CS0_5",68,14,79,70,"C_S_0","Y","A"
"160","BETALL32 HF DB_CS0_4","BETALL32 HF DB","BET.ALL","C","S",0,"CS0_4",NA,84,87,82,"C_S_0","N","Y"
"161","COMPER 2 HF DB_CS0_4","COMPER 2 HF DB","COM.PER","C","S",0,"CS0_4",33,NA,NA,NA,"C_S_0","Y","?"
"162","VACCOR 3 HF DB_CS0_4","VACCOR 3 HF DB","VAC.COR","C","S",0,"CS0_4",NA,NA,NA,NA,"C_S_0","?","?"
"163","ACEPEN14 HF DB_CS0_3","ACEPEN14 HF DB","ACE.PEN","C","S",0,"CS0_3",NA,NA,NA,NA,"C_S_0","?","?"
"164","CORCOR10_HF_CS0_3","CORCOR10_HF","COR.COR","C","S",0,"CS0_3",104,NA,NA,NA,"C_S_0","Y","A"
"165","PRUVIR 5 HF DB_CS0_3","PRUVIR 5 HF DB","PRU.VIR","C","S",0,"CS0_3",NA,NA,NA,NA,"C_S_0","?","?"
"166","CORCOR14 HF DB_CS0_24","CORCOR14 HF DB","COR.COR","C","S",0,"CS0_24",73,96,84,79,"C_S_0","Y","A"
"167","PRUPEN 23 HF DB_CS0_24","PRUPEN 23 HF DB","PRU.PEN","C","S",0,"CS0_24",NA,26,NA,NA,"C_S_0","?","A"
"168","PRUVIR 6 HF DB_CS0_24","PRUVIR 6 HF DB","PRU.VIR","C","S",0,"CS0_24",NA,NA,NA,NA,"C_S_0","?","?"
"169","CORCOR09_HF_CS0_23","CORCOR09_HF","COR.COR","C","S",0,"CS0_23",NA,90,NA,107,"C_S_0","?","A"
"170","ILEMUC 11 HF DB_CS0_23","ILEMUC 11 HF DB","ILE.MUC","C","S",0,"CS0_23",NA,NA,NA,NA,"C_S_0","?","?"
"171","VACCOR 8 HF DB_CS0_23","VACCOR 8 HF DB","VAC.COR","C","S",0,"CS0_23",40,28,40,37,"C_S_0","Y","A"
"172","COMPER 4 HF DB_CS0_22","COMPER 4 HF DB","COM.PER","C","S",0,"CS0_22",30,NA,NA,NA,"C_S_0","Y","?"
"173","ILEMUC 14 HF DB_CS0_22","ILEMUC 14 HF DB","ILE.MUC","C","S",0,"CS0_22",NA,NA,NA,NA,"C_S_0","?","?"
"174","PRUVIR 3 HF DB_CS0_22","PRUVIR 3 HF DB","PRU.VIR","C","S",0,"CS0_22",NA,NA,NA,NA,"C_S_0","?","?"
"175","CORCOR 15_HF_CS0_21","CORCOR 15_HF","COR.COR","C","S",0,"CS0_21",68,107,NA,NA,"C_S_0","Y","A"
"176","ILEVER01 HF DB_CS0_21","ILEVER01 HF DB","ILE.VER","C","S",0,"CS0_21",NA,NA,NA,NA,"C_S_0","?","?"
"177","VIBACE09 HF DB_CS0_21","VIBACE09 HF DB","VIB.ACE","C","S",0,"CS0_21",NA,NA,NA,NA,"C_S_0","?","?"
"178","COMPER 8 HF DB_CS0_20","COMPER 8 HF DB","COM.PER","C","S",0,"CS0_20",NA,NA,NA,NA,"C_S_0","?","?"
"179","ILEVER08 HF DB_CS0_20","ILEVER08 HF DB","ILE.VER","C","S",0,"CS0_20",NA,NA,NA,NA,"C_S_0","N","D"
"180","PRUPEN16 HF DB_CS0_20","PRUPEN16 HF DB","PRU.PEN","C","S",0,"CS0_20",NA,30,NA,56,"C_S_0","?","A"
"181","ACESAC11 HF DB_CS0_2","ACESAC11 HF DB","ACE.SAC","C","S",0,"CS0_2",NA,NA,NA,NA,"C_S_0","N","?"
"182","COMPER 5 HF DB_CS0_2","COMPER 5 HF DB","COM.PER","C","S",0,"CS0_2",NA,NA,NA,NA,"C_S_0","?","?"
"183","CORCOR09_HF_CS0_2","CORCOR09_HF","COR.COR","C","S",0,"CS0_2",NA,96,107,101,"C_S_0","N","A"
"184","ACEPEN16 HF DB_CS0_19","ACEPEN16 HF DB","ACE.PEN","C","S",0,"CS0_19",NA,NA,NA,NA,"C_S_0","?","?"
"185","ACERUB25 HF DB_CS0_19","ACERUB25 HF DB","ACE.RUB","C","S",0,"CS0_19",NA,NA,NA,NA,"C_S_0","?","?"
"186","ILEVER08 HF DB_CS0_19","ILEVER08 HF DB","ILE.VER","C","S",0,"CS0_19",NA,NA,NA,NA,"C_S_0","?","?"
"187","ACEPEN20 HF DB_CS0_18","ACEPEN20 HF DB","ACE.PEN","C","S",0,"CS0_18",NA,NA,NA,NA,"C_S_0","?","?"
"188","ACERUB23 HF DB_CS0_18","ACERUB23 HF DB","ACE.RUB","C","S",0,"CS0_18",NA,NA,NA,NA,"C_S_0","?","?"
"189","ACESAC17 HF DB_CS0_18","ACESAC17 HF DB","ACE.SAC","C","S",0,"CS0_18",NA,NA,NA,NA,"C_S_0","N","?"
"190","ILEMUC 9 HF DB_CS0_17","ILEMUC 9 HF DB","ILE.MUC","C","S",0,"CS0_17",NA,NA,NA,NA,"C_S_0","?","?"
"191","PRUPEN 24 HF DB_CS0_17","PRUPEN 24 HF DB","PRU.PEN","C","S",0,"CS0_17",NA,NA,NA,NA,"C_S_0","?","?"
"192","VIBACE07 HF DB_CS0_17","VIBACE07 HF DB","VIB.ACE","C","S",0,"CS0_17",NA,19,87,82,"C_S_0","?","A"
"193","ACERUB28 HF DB_CS0_16","ACERUB28 HF DB","ACE.RUB","C","S",0,"CS0_16",NA,NA,NA,NA,"C_S_0","?","?"
"194","ACESAC19 HF DB_CS0_16","ACESAC19 HF DB","ACE.SAC","C","S",0,"CS0_16",NA,NA,NA,NA,"C_S_0","N","?"
