name,GEN.SPA,Force,Light,Chill,good_flaskid,term.F,term.L,lat.F,lat.L,date
VACCOR 1 HF DB,VAC.COR,C,L,0,CL0_16,0,0,0,0,11/23/17
VIBACE01 HF DB,VIB.ACE,C,L,0,CL0_16,0,0,0,0,11/23/17
BETALL34 HF DB,BET.ALL,C,L,0,CL0_15,0,0,0,0,11/23/17
CORCOR07_HF,COR.COR,C,L,0,CL0_15,0,0,0,0,11/23/17
ILEVER04 HF DB,ILE.VER,C,L,0,CL0_15,0,0,0,0,11/23/17
ACERUB26 HF DB,ACE.RUB,C,L,0,CL0_14,0,0,0,0,11/23/17
BETALL26 HF DB,BET.ALL,C,L,0,CL0_14,0,0,0,0,11/23/17
VIBACE4 HF DB,VIB.ACE,C,L,0,CL0_14,0,0,0,0,11/23/17
PRUPEN 24 HF DB,PRU.PEN,C,L,0,CL0_13,0,0,0,0,11/23/17
PRUVIR 7 HF DB,PRU.VIR,C,L,0,CL0_13,0,0,0,0,11/23/17
VACCOR 10 HF DB,VAC.COR,C,L,0,CL0_13,0,0,0,0,11/23/17
ACESAC11 HF DB,ACE.SAC,C,L,0,CL0_12,0,0,0,0,11/23/17
CORCOR09_HF,COR.COR,C,L,0,CL0_12,0,0,0,0,11/23/17
ILEVER08 HF DB,ILE.VER,C,L,0,CL0_12,0,0,0,0,11/23/17
ACEPEN17 HF DB,ACE.PEN,C,L,0,CL0_11,0,0,0,0,11/23/17
ACESAC11 HF DB,ACE.SAC,C,L,0,CL0_11,0,0,0,0,11/23/17
ILEVER05 HF DB,ILE.VER,C,L,0,CL0_11,0,0,0,0,11/23/17
ILEMUC 12 HF DB,ILE.MUC,C,L,0,CL0_10,0,0,0,0,11/23/17
ILEVER07 HF DB,ILE.VER,C,L,0,CL0_10,0,0,0,0,11/23/17
VIBACE06 HF DB,VIB.ACE,C,L,0,CL0_10,0,0,0,0,11/23/17
ACERUB27 HF DB,ACE.RUB,C,L,0,CL0_1,0,0,0,0,11/23/17
COMPER 2 HF DB,COM.PER,C,L,0,CL0_1,0,0,0,0,11/23/17
PRUPEN 21 HF DB,PRU.PEN,C,L,0,CL0_1,0,0,0,0,11/23/17
ACERUB25 HF DB,ACE.RUB,W,S,1,WS1_9,-,-,-,-,11/23/17
CORCOR10_HF,COR.COR,W,S,1,WS1_9,-,-,-,-,11/23/17
VACCOR 9 HF DB,VAC.COR,W,S,1,WS1_9,-,-,-,-,11/23/17
COMPER 3 HF DB,COM.PER,W,S,1,WS1_8,-,-,-,-,11/23/17
VACCOR 3 HF DB,VAC.COR,W,S,1,WS1_8,-,-,-,-,11/23/17
VIBACE4 HF DB,VIB.ACE,W,S,1,WS1_8,-,-,-,-,11/23/17
ACESAC19 HF DB,ACE.SAC,W,S,1,WS1_7,-,-,-,-,11/23/17
ILEVER10 HF DB,ILE.VER,W,S,1,WS1_7,-,-,-,-,11/23/17
VACCOR ? HF DB,VAC.COR,W,S,1,WS1_7,-,-,-,-,11/23/17
ACESAC16 HF DB,ACE.SAC,W,S,1,WS1_6,-,-,-,-,11/23/17
BETALL34 HF DB,BET.ALL,W,S,1,WS1_6,-,-,-,-,11/23/17
