"id","leaf_day","flo_day","name","GEN.SPA","Force","Light","Chill","good_flaskid"
"CORCOR06 HF_CS0_1",NA,NA,"CORCOR06 HF","COR.COR","C","S",0,"CS0_1"
"PRUVIR 2 HF DB_CS0_1",NA,NA,"PRUVIR 2 HF DB","PRU.VIR","C","S",0,"CS0_1"
"BETALL32 HF DB_CL0_9",82,NA,"BETALL32 HF DB","BET.ALL","C","L",0,"CL0_9"
"ILEVER06 HF DB_CL0_9",NA,NA,"ILEVER06 HF DB","ILE.VER","C","L",0,"CL0_9"
"VACCOR 6 HF DB_CL0_9",NA,NA,"VACCOR 6 HF DB","VAC.COR","C","L",0,"CL0_9"
"ACESAC19 HF DB_CL0_8",NA,NA,"ACESAC19 HF DB","ACE.SAC","C","L",0,"CL0_8"
"COMPER 1 HF DB_CL0_8",NA,NA,"COMPER 1 HF DB","COM.PER","C","L",0,"CL0_8"
"PRUVIR 5 HF DB_CL0_8",NA,NA,"PRUVIR 5 HF DB","PRU.VIR","C","L",0,"CL0_8"
"ACEPEN20 HF DB_CL0_7",107,NA,"ACEPEN20 HF DB","ACE.PEN","C","L",0,"CL0_7"
"ACERUB25 HF DB_CL0_7",NA,NA,"ACERUB25 HF DB","ACE.RUB","C","L",0,"CL0_7"
"ACESAC11 HF DB_CL0_7",NA,NA,"ACESAC11 HF DB","ACE.SAC","C","L",0,"CL0_7"
"ACEPEN18 HF DB_CL0_6",68,93,"ACEPEN18 HF DB","ACE.PEN","C","L",0,"CL0_6"
"ACERUB25 HF DB_CL0_6",NA,NA,"ACERUB25 HF DB","ACE.RUB","C","L",0,"CL0_6"
"ILEMUC 10 HF DB_CL0_6",110,114,"ILEMUC 10 HF DB","ILE.MUC","C","L",0,"CL0_6"
"ACEPEN16 HF DB_CL0_5",NA,NA,"ACEPEN16 HF DB","ACE.PEN","C","L",0,"CL0_5"
