"specificEpithet","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass"
"mexicana",23732243,"Harvard",NA,NA,NA,"","Washington","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732243",NA,NA,"county_centroid"
"mexicana",23732251,"Harvard",1910,3,23,"1910-03-23","Texas","dallas ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732251",NA,NA,"county_centroid"
"mexicana",10248407,"HXC",1973,4,15,"1973-04-15","Arkansas","lee","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10248407",-90.7740180933498,34.7829489325652,"county_centroid"
"mexicana",16491706,"UOS",6,8,28,"2006-08-28","Tennessee","franklin","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16491706",-86.082836253713,35.1523206358792,"county_centroid"
"mexicana",23732400,"Harvard",NA,NA,NA,"","Texas","kendall ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732400",NA,NA,"county_centroid"
"mexicana",6691945,"STAR",NA,NA,NA,"","Arkansas","pope","https://midwestherbaria.org/portal/collections/individual/index.php?occid=6691945",-93.0333960172532,35.4408190819314,"county_centroid"
"mexicana",13573879,"TEX",1900,10,0,"1900-10-00","Texas","travis","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573879",-97.7769968178839,30.3286754214639,"county_centroid"
"mexicana",5894906,"MISS",1966,7,6,"1966-07-06","Mississippi","carroll","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894906",-89.922986697285,33.4510174924505,"county_centroid"
"mexicana",5465885,"EKY",1996,6,23,"1996-06-23","Oklahoma","tulsa","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465885",-95.9428049690609,36.1338366907781,"county_centroid"
"mexicana",13422270,"LL",1945,8,18,"1945-08-18","Texas","lampasas","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13422270",-98.2470143800344,31.1929316919894,"county_centroid"
"mexicana",7188969,"ILL",NA,NA,NA,"","","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=7188969",NA,NA,"county_centroid"
