"specificEpithet","id","references"
"munsoniana",10246813,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246813"
"munsoniana",5803625,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5803625"
"munsoniana",22620250,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620250"
"munsoniana",9176006,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176006"
"munsoniana",21204188,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=21204188"
"munsoniana",12911712,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911712"
"munsoniana",10246815,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246815"
"munsoniana",19451486,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19451486"
"texana",20375067,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20375067"
"texana",13574013,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13574013"
"maritima",20412418,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412418"
"maritima",24107513,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24107513"
"maritima",20412843,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412843"
"maritima",20412838,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412838"
"maritima",20412436,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412436"
"maritima",13273979,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273979"
"maritima",20412835,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412835"
"maritima",20412765,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412765"
"maritima",16666857,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16666857"
"maritima",20412812,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412812"
"maritima",20412821,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412821"
"maritima",19212151,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212151"
"maritima",20412797,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412797"
"maritima",20412780,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412780"
"maritima",20412833,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412833"
"maritima",20412430,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412430"
"maritima",20412423,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412423"
"maritima",20412829,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412829"
"maritima",24057792,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24057792"
"maritima",20412786,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412786"
"maritima",20412415,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412415"
"maritima",20412836,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412836"
"maritima",16080424,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080424"
"maritima",15020806,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15020806"
"maritima",17187377,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=17187377"
"maritima",16080189,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080189"
"maritima",21382333,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=21382333"
"maritima",20412440,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20412440"
"maritima",16080432,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080432"
"maritima",15369784,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369784"
