"specificEpithet","id","references"
"rivularis",3850954,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=3850954"
"rivularis",11588894,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11588894"
"rivularis",16514064,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16514064"
"rivularis",13283343,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13283343"
"rivularis",16514062,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16514062"
"rivularis",25145280,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25145280"
"rivularis",25144730,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25144730"
"rivularis",16514061,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16514061"
"rivularis",25114018,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25114018"
"rivularis",15369824,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369824"
"rivularis",24656028,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24656028"
"rivularis",25160664,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25160664"
"rivularis",14237381,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=14237381"
"rivularis",25160668,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25160668"
"rivularis",25120748,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25120748"
"rivularis",11588976,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11588976"
"rivularis",25889308,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25889308"
"rivularis",25120894,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25120894"
"rivularis",13449664,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13449664"
"rivularis",25876718,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876718"
"rivularis",16514068,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16514068"
"rivularis",16514059,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16514059"
"rivularis",13507693,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13507693"
"rivularis",25160669,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25160669"
"rivularis",5734230,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5734230"
"rivularis",25126858,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=25126858"
"rivularis",22620300,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620300"
"nigra",4970712,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4970712"
"nigra",24114932,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24114932"
"nigra",5101567,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5101567"
"nigra",13283222,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13283222"
"nigra",5145189,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5145189"
"nigra",24097254,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24097254"
"nigra",11586970,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11586970"
"nigra",4937226,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4937226"
"nigra",4381469,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4381469"
"nigra",5175345,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5175345"
"nigra",5109885,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5109885"
"nigra",5103197,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5103197"
"nigra",11659106,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11659106"
"nigra",5017850,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5017850"
"nigra",11535466,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535466"
"nigra",24084956,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24084956"
"nigra",13283223,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13283223"
"nigra",22988369,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22988369"
"nigra",24060436,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24060436"
"nigra",15818185,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15818185"
"nigra",5242007,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5242007"
"nigra",7460309,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=7460309"
"nigra",5235289,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5235289"
"nigra",5282568,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5282568"
"nigra",11586889,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11586889"
"nigra",15477387,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15477387"
"nigra",11586954,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11586954"
"nigra",15818187,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=15818187"
"nigra",11586789,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11586789"
"nigra",5228549,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=5228549"
"alleghaniensis",6816036,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6816036"
"alleghaniensis",6444091,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6444091"
"alleghaniensis",6816043,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6816043"
"alleghaniensis",7443931,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=7443931"
"alleghaniensis",24496467,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=24496467"
"alleghaniensis",4595024,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=4595024"
"alleghaniensis",6816032,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=6816032"
"hortulana",13271229,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13271229"
"hortulana",22619960,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22619960"
"hortulana",11586662,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11586662"
"hortulana",16184983,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16184983"
"hortulana",13271221,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=13271221"
"hortulana",19212087,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212087"
"hortulana",7444214,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=7444214"
"hortulana",21204138,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=21204138"
"hortulana",20277319,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=20277319"
"hortulana",3848989,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848989"
"hortulana",22494166,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22494166"
"hortulana",12876937,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876937"
"hortulana",10426138,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10426138"
"hortulana",19752196,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=19752196"
"hortulana",22683364,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=22683364"
"hortulana",10426134,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10426134"
"hortulana",12876948,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876948"
"hortulana",11586297,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11586297"
"hortulana",10426129,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10426129"
"hortulana",12876951,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876951"
"hortulana",11586316,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=11586316"
"hortulana",7188884,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=7188884"
"hortulana",16184981,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=16184981"
"hortulana",21204151,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=21204151"
"hortulana",10414386,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=10414386"
"hortulana",12652469,"https://midwestherbaria.org/portal/collections/individual/index.php?occid=12652469"
