specificEpithet,id,references,fruit_type,obs_number,,,,,,fruit_diam_mm,who_done_it,note,certain
angustifolia,22694233,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22694234,dried,2,1.301,58.871,29.924,121.601,136.397,15,SC,,
angustifolia,22694233,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22694235,dried,3,1.241,60.58,28.741,120.117,77.471,14.306,SC,,
angustifolia,22694233,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22694236,dried,4,1.063,51.293,24.841,90.055,140.711,12.252,SC,,
angustifolia,22694233,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22694237,dried,5,1.167,56.712,33.09,101.045,8.13,13.411,SC,,
angustifolia,12876588,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876588,pit,1,1.312,61.232,50.6,105.333,92.862,5.006,SC,or dried?,U
angustifolia,12876588,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876589,pit,2,1.125,55.362,45.442,94.519,176.634,4.257,SC,,U
angustifolia,12876588,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876590,pit,3,1.375,52.019,44.619,72.667,138.814,5.315,SC,,U
angustifolia,12876588,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876591,pit,4,1.188,52.699,42.407,96,63.435,4.472,SC,,U
angustifolia,12398601,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12398601,dried,1,5.917,16.199,5.117,107,-85.711,21.682,SC,,
angustifolia,22620080,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620080,dried,1,1.462,76.536,43.592,135.111,64.654,16.598,SC,,
angustifolia,22620080,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620081,dried,2,1.447,74.641,42.19,141.943,43.698,16.379,SC,,
angustifolia,22620080,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620082,dried,3,1.416,68.745,33,185.721,-88.122,16.061,SC,,
angustifolia,22620080,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620083,dried,4,1.477,77.002,26.94,218.216,-41.186,16.784,SC,,
angustifolia,22620080,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620084,dried,5,1.454,80.48,39.466,228.167,-118.61,16.487,SC,,
angustifolia,12508681,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508681,dried,1,3.062,54.362,22,81.742,164.219,11.95,SC,,
angustifolia,12508681,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508682,dried,2,3.438,56.962,31.593,150.556,-93.18,13.521,SC,,
angustifolia,12508681,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508683,dried,3,3.75,92.2,70.448,128.667,-54.689,14.705,SC,,
angustifolia,12508681,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508684,dried,4,3.562,80.303,56.476,107.667,173.884,14.08,SC,,
angustifolia,12508681,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508685,dried,5,3.188,105.039,83.972,140.556,20.956,12.582,SC,,
angustifolia,12508667,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508667,dried,1,3.748,39.943,22.823,70.333,-79.695,14.334,SC,or fleshy ?,U
angustifolia,12508667,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508668,dried,2,3.682,35.91,16.167,105.333,-124.563,14.011,SC,,U
angustifolia,12508667,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12508669,dried,3,2.959,49.624,17.741,87.028,166.908,11.32,SC,,U
angustifolia,16914177,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16914177,fleshy,1,4.536,59.483,29.823,198.377,-34.854,17.498,SC,,
angustifolia,12500768,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12500768,dried,1,4.456,42.787,1.472,110.398,0,16.216,SC,,
angustifolia,16914203,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16914203,,,,,,,,,SC,fruit is obscured,
angustifolia,15948360,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15948360,dried,1,3.214,27.189,16.539,143.778,128.454,11.734,SC,,
angustifolia,16192732,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16192732,fleshy,1,4.017,48.505,12.113,121.972,-132.138,14.905,SC,"fruit is broken, hard to get accurate measurement.. also would this be fleshy or dried?",U
angustifolia,9293229,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9293229,dried,1,2.854,47.287,29.401,126.556,176.348,11.483,SC,,
angustifolia,9293229,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9293230,dried,2,3.032,51.394,30.215,111.333,56.31,12.308,SC,,
angustifolia,9293229,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9293231,dried,3,2.913,41.995,35.167,69.352,-80.34,11.625,SC,,
angustifolia,9293229,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9293232,dried,4,2.854,47.384,32.719,123.667,156.161,11.463,SC,,
angustifolia,9293229,https://midwestherbaria.org/portal/collections/individual/index.php?occid=9293233,dried,5,3.092,46.788,32.298,116.667,46.591,12.419,SC,,
